Number,Type,Name,Registration Point,Filename
1,text,txt_loading,"(0, 0)",
2,field,clk_to_skip,"(0, 0)",
3,text,txt_Try_it,"(0, 0)",
4,text,txt_Start,"(0, 0)",
5,text,txt_Instructions2,"(0, 0)",
6,text,txt_Instructions1,"(0, 0)",
7,text,txt_Instructions3,"(0, 0)",
8,text,txt_Back,"(0, 0)",
10,text,txt_Tips_long,"(0, 0)",
12,field,fld_Really_Quit,"(0, 0)",
13,text,txt_dist_bon,"(0, 0)",
14,text,txt_hit the ship,"(0, 0)",
15,text,txt_planets,"(0, 0)",
16,text,txt_Tips,"(0, 0)",
17,text,txt_pull_kevin,"(0, 0)",
18,text,txt_pull_light,"(0, 0)",
19,text,txt_all4,"(0, 0)",
24,text,txt_submit_your_score,"(0, 0)",
25,text,txt_label_fname,"(0, 0)",
26,text,txt_label_state,"(0, 0)",
31,text,txt_title_hs_at,"(0, 0)",
32,text,txt_title_hs_td,"(0, 0)",
33,text,Submit Score!,"(0, 0)",
34,text,txt_great_job,"(0, 0)",
35,text,txt_highscores,"(0, 0)",
36,text,txt_HS_link,"(0, 0)",
37,text,txt_play_again,"(0, 0)",
38,text,txt_Submit,"(0, 0)",
39,text,txt_Cancel,"(0, 0)",
40,text,txt_please wait,"(0, 0)",
